Site,BUFF_DIST,RESERVOIR,BORROWPITS,DUGOUT,LAGOON,BORROWPIT-DRY,SUMP,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,INTERCHANGE-RAMP,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-1L,ROAD-PAVED-2L,ROAD-PAVED-DIV,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-PAVED-UNDIV-4L,ROAD-UNPAVED-2L,TRUCK-TRAIL,AIRP-RUNWAY,ROAD-UNPAVED-1L,ROAD-PAVED-4L,ROAD-PAVED-3L,RLWY-SGL-TRACK,RLWY-SPUR,CANAL,VEGETATED-EDGE-ROADS,VEGETATED-EDGE-RAILWAYS,GRVL-SAND-PIT,MINES-PITLAKE,MISC-OIL-GAS-FACILITY,FACILITY-UNKNOWN,FACILITY-OTHER,OIL-GAS-PLANT,CLEARING-UNKNOWN,URBAN-INDUSTRIAL,CLEARING-WELLPAD-UNCONFIRMED,WELL-CASED,WELL-GAS,WELL-OIL,WELL-OTHER,TRANSFER_STATION,LANDFILL,RECREATION,GOLFCOURSE,CAMPGROUND,GREENSPACE,SURROUNDING-VEG,RUNWAY,TRANSMISSION-LINE,CFO,RURAL-RESIDENCE,URBAN-RESIDENCE,COUNTRY-RESIDENCE,RESIDENCE_CLEARING,WELL-ABAND,ROUGH_PASTURE,CROP,TAME_PASTURE,FRUIT-VEGETABLES,CUTBLOCK,PRE-LOW-IMPACT-SEISMIC,TRAIL,DISTURB_VEG,PIPELINE
Cell 51,4750,0,0,0.000292866,0,0,0,0.002391444,0.002765693,0,0.002357122,0.000306854,0,0,0,0.001108405,0.001360534,0,0,2.43E-05,0,0,0,0,0,0,0,0.010693147,0,0,0,0,0,0,0,0,0,0,0,0.001545694,0,0,0,0,0,0,0,0,0,0,0,0,0.010941464,0,0.015776507,0,0.002723213,0.182549881,0.000334106,0.119259686,0,0,0.001198924,0.00328838,0.005685459,0.005165118
Cell 52,4750,0,0,3.25E-05,0,0,0,0,0.002426619,0,0,0,0,0,0,0,0,0,0,3.72E-06,0,0,0,0,0,0,0,0.002433254,0,0,0,0,0,0,0,0,0,0,0,0.000928988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001940817,0.165355316,0.000334106,0.008735596,0,0,0.001238467,0.003779092,0,0.003420973
Cell 53,4750,0,0,0,0,0,0,0.000565557,0.003334525,0,0.000321085,0,0,0,0.00538742,0.000357654,0.001825114,0,0,0.000284144,0,0,0,0,0,0,0,0.013089232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006438208,0,0.007451995,0,0.000379366,0.043675576,0.039377902,0.0722488,0,0,0.001651261,0.002016569,0,0
Cell 54,4750,0,0,8.83E-07,0,0,0,0.000538315,0.003429718,0,0.000590982,0,0,0,0.005216613,0.000315313,0.002111726,0,0,0.000236603,0,0,0,0,0,0,0,0.013739525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007178055,0,0.007451995,0,0.000563201,0.034174073,0.048654609,0.080949676,0,0,0.001224604,0.00190104,0,0
Cell 55,4750,0,0,0.00061485,0,0,0,0.001898984,0.000612375,0,0.00611857,0.000707601,0,0,0,0,0.005457686,0,0,6.76E-05,0,0,0,0,0,0,0,0.013996972,0,0,0,0,0,0,0,0,9.71E-05,0,0.000187173,0.001858452,0,0,0.000287991,0,0,0,0,0.000325318,0,0,0.007140879,0.0018827,0.01103461,0.001765137,0,0,0.002997776,0.009039893,0.555171144,0.026544617,0,0,0.001327111,0.000835665,0,0
Cell 56,4750,0,0,0.000625859,0,0,0,0.002800728,0.000506051,0,0.00662585,0.000249822,0,0,0,0,0.002406569,0,0,0.000160567,0,0,0,0,0,0,0,0.013219051,0,0,0,0,0,6.50E-05,0,0,0,0,0,0.001050477,0,0,0,0,0,0.005430534,0.001297795,0,0,0,0.006094575,0.0018827,0.013515295,0,0.002200275,0,0.003442554,0.037218223,0.436959906,0.038683434,0,0,0.001986086,0.00098634,0,0
Cell 57,4750,0,0,0.001106334,0,0,0,0.003529973,0.000759798,0,0.008267371,0,0,0,0,0.000199117,0.0022008,0,0,8.11E-05,0,0,0,0,0,0,0,0.016782308,0,0,0,0,0,6.50E-05,0,0,0,0,0.000374311,0.001213734,0,0,0,0,0,0,0.0004364,0,0,0,0.006206249,0,0.018415443,0,0.016255447,0,0.004593716,0.041842637,0.585616541,0.056083564,0,0,0.001854339,0.00037901,0,0.0001162
Cell 58,4750,0,0,0.000846037,0,0,0,0.005033671,0.000994186,0,0.007511964,0,0,0,0,0.001948692,0.002413209,0,0,4.34E-05,0,0,0,0,0,0,0,0.018334384,0,0,0,0,0.000652459,0,0,0.000745044,0,0,0.000278194,0.001011785,0,0,0,0,0,0,0,0,0,0,0.004549991,0,0.016101405,0,0.05906728,0,0.00551193,0.071016655,0.381429594,0.070528112,0,0,0.002686098,0.000532647,0,0.000964136
Cell 59,4750,0,0,0.000943669,0,0,0,0.005250909,0.002225505,0,0.006435381,0.00048649,0,0,0,0.001771149,0.008099657,0,0,0.000164044,0,0,0,0,0.000763405,0,0,0.029670315,0.003206149,0,0,0,0,0,0,0,0,0,0.00037431,0.000607793,0,0,0.000210682,0,0,0,0.001564455,0,0,0,0,0,0.026798741,0,0.062360954,0,0.003764562,0.052631284,0.308187939,0.114288008,0,0,0.002141445,0.000594599,0,0.000142075
Cell 6,4750,0.003503822,0,0.000130195,0.000321209,0,0,0.00714231,0.001380366,0,0.001393985,0.000253774,0,0,0.000252892,0.002617555,0.015866651,0,0,0.000103777,0.00068471,0,0,0,0,0,0,0.019324779,0,0,0,0,6.47E-05,0,0,0,6.99E-05,0,0,0,0,0,0,0,0.00052044,0,0,0.001650465,0.001953315,0.00051046,0,0,0.039338486,0.001015082,0.068315641,0,0.000740592,0.033041578,0.011738772,0.275503253,0,0,0.003019568,0.000691468,0,0.001543645
